Fixed Income Money Market and Derivatives Association of India,
,
"FIMMDA, PDAI GOI Base/Par Yield as on 25 Nov, 2016",
,
Maturity,YTM (Semi-Annual)
0.25,5.69
0.50,5.94
0.75,5.96
1.00,5.97
1.25,5.91
1.50,5.93
1.75,5.92
2.00,5.94
2.25,5.94
2.50,5.99
2.75,6.02
3.00,6.05
3.25,6.08
3.50,6.11
3.75,6.12
4.00,6.14
4.25,6.14
4.50,6.15
4.75,6.15
5.00,6.15
5.25,6.14
5.50,6.15
5.75,6.15
6.00,6.16
6.25,6.16
6.50,6.18
6.75,6.20
7.00,6.22
7.25,6.25
7.50,6.28
7.75,6.31
8.00,6.34
8.25,6.35
8.50,6.36
8.75,6.33
9.00,6.29
9.25,6.25
9.50,6.23
9.75,6.23
10.00,6.28
10.25,6.35
10.50,6.44
10.75,6.52
11.00,6.57
11.25,6.59
11.50,6.59
11.75,6.55
12.00,6.49
12.25,6.43
12.50,6.40
12.75,6.39
13.00,6.40
13.25,6.41
13.50,6.44
13.75,6.48
14.00,6.52
14.25,6.55
14.50,6.59
14.75,6.63
15.00,6.66
15.25,6.67
15.50,6.68
15.75,6.69
16.00,6.68
16.25,6.67
16.50,6.67
16.75,6.66
17.00,6.65
17.25,6.64
17.50,6.64
17.75,6.63
18.00,6.63
18.25,6.62
18.50,6.62
18.75,6.62
19.00,6.62
19.25,6.61
19.50,6.61
19.75,6.61
20.00,6.61
20.25,6.60
20.50,6.60
20.75,6.60
21.00,6.60
21.25,6.60
21.50,6.60
21.75,6.60
22.00,6.60
22.25,6.60
22.50,6.60
22.75,6.60
23.00,6.61
23.25,6.61
23.50,6.61
23.75,6.61
24.00,6.61
24.25,6.61
24.50,6.62
24.75,6.62
25.00,6.62
25.25,6.62
25.50,6.62
25.75,6.63
26.00,6.63
26.25,6.63
26.50,6.63
26.75,6.63
27.00,6.64
27.25,6.64
27.50,6.64
27.75,6.64
28.00,6.65
28.25,6.65
28.50,6.65
28.75,6.65
29.00,6.65
29.25,6.65
29.50,6.66
29.75,6.66
30.00,6.66
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
