FIMMDA-Thomson Reuters Treasury Bill Benchmark (YTM & Discount Yield) as on 25 November 2016,,
Tenor (Days),Benchmark YTM (%),Discount Yield
7,5.65,5.5666
14,5.65,5.5606
30,5.65,5.5468
60,5.697,5.5668
90,5.7429,5.5851
120,5.7489,5.565
150,5.7739,5.5628
180,5.797,5.5587
210,5.8061,5.5415
240,5.8148,5.5239
270,5.8238,5.5068
300,5.8328,5.4897
330,5.8416,5.4725
364,5.8506,5.4523
,,
,market quote,zcc
Curve,INR TBILL YTM,
,,
Notes:,To confirm with HDFC to get the formulas to calculate discount yield,
